drive_id,sol_start,sol_end,n_segments,n_intermediate,path_m,straight_m,seg_straight_sum_m,excess_m,detour_ratio,wander_ratio,tilt_mean,tilt_max,n_i_rows,n_m_rows,frac_i,flag_zero_distance,flag_short_drive,flag_single_segment,flag_dist_anomaly,flag_impossible
347,1231,1231,1,0,7.782,3.93873101413133,3.93873101413133,3.84326898586867,1.9757632527024154,1.0,7.455596644,7.455596644,0,0,0.0,False,True,True,False,False
348,1244,1244,1,0,83.979,48.85278400452091,48.852784004520906,35.126215995479086,1.719021785784582,0.9999999999999999,7.881955017,7.881955017,0,0,0.0,False,False,True,False,False
349,1245,1245,1,0,36.389,14.575842789129307,14.575842789129307,21.813157210870695,2.4965280242415204,1.0,10.92348486,10.92348486,0,0,0.0,False,False,True,False,False
350,1246,1246,1,0,96.002,61.376249820448244,61.37624982044824,34.62575017955175,1.5641555207567563,0.9999999999999999,13.8345733,13.8345733,0,0,0.0,False,False,True,False,False
351,1247,1247,1,0,81.698,72.17391956197301,72.173919561973,9.524080438026985,1.1319601387291849,0.9999999999999998,16.60355259,16.60355259,0,0,0.0,False,False,True,False,False
352,1250,1250,1,0,48.206,30.57584930976208,30.57584930976208,17.630150690237922,1.5766037931318908,1.0,15.86993734,15.86993734,0,0,0.0,False,False,True,False,False
353,1251,1251,1,0,31.491,30.781564515014015,30.78156451501401,0.7094354849859847,1.0230474147810111,0.9999999999999999,17.21981652,17.21981652,0,0,0.0,False,False,True,False,False
354,1252,1252,1,0,50.837,41.93761042320641,41.93761042320641,8.899389576793595,1.2122054520271157,1.0,17.76421437,17.76421437,0,0,0.0,False,False,True,False,False
355,1253,1253,1,0,3.158,3.129020453723194,3.1290204537231934,0.0289795462768061,1.0092615394195725,0.9999999999999999,16.63548412,16.63548412,0,0,0.0,False,True,True,False,False
356,1254,1254,2,1,17.606,8.476404249515596,13.364222123517413,9.129595750484405,2.077059975166491,1.5766381274561254,18.346463655,18.82910838,0,1,0.0,False,False,False,False,False
357,1264,1264,1,0,36.294,32.7247213282557,32.7247213282557,3.5692786717443,1.10906979576515,1.0,17.69429141,17.69429141,0,0,0.0,False,False,True,False,False
358,1265,1265,1,0,121.603,108.03436488963632,108.03436488963632,13.568635110363672,1.125595546604313,1.0,13.62522443,13.62522443,0,0,0.0,False,False,True,False,False
359,1266,1266,2,1,149.075,139.09703207827647,141.53202257843554,9.977967921723518,1.0717338664430198,1.0175056970215497,11.5943232,12.76764758,1,0,0.5,False,False,False,False,False
360,1268,1268,1,0,165.899,163.36017505208244,163.3601750520824,2.5388249479175613,1.0155412722048573,0.9999999999999998,13.14088272,13.14088272,0,0,0.0,False,False,True,False,False
361,1270,1270,1,0,91.321,89.47253684772947,89.47253684772947,1.8484631522705257,1.0206595589819518,1.0,13.24126402,13.24126402,0,0,0.0,False,False,True,False,False
362,1271,1271,1,0,81.706,80.61879039052585,80.61879039052586,1.087209609474158,1.0134858090056624,1.0000000000000002,11.6177986,11.6177986,0,0,0.0,False,False,True,False,False
363,1274,1274,1,0,154.965,143.22691384315067,143.22691384315067,11.738086156849334,1.0819544723954873,1.0,15.23460334,15.23460334,0,0,0.0,False,False,True,False,False
364,1278,1278,1,0,179.827,152.80501464300286,152.80501464300286,27.021985356997135,1.1768396503225262,1.0,10.77564607,10.77564607,0,0,0.0,False,False,True,False,False
