sol,easting,northing,dist_m,tilt,final,straight_line
434,4352111.638,1093861.507,0.0,1.088514717,m,22.626021921781344
434,4352111.705,1093861.473,28.695,1.189241046,y,0.07513321484555881
436,4352109.042,1093972.686,112.224,1.894098906,y,111.24487825511774
437,4352124.876,1094039.117,69.543,5.537217115,y,68.29197110207572
439,4352130.795,1094051.559,0.0,5.49806451,m,13.778168419363917
439,4352132.454,1094056.159,19.148,4.662972191,y,4.890018507204996
441,4352133.943,1094070.938,0.0,12.09335915,m,14.853819778193097
441,4352128.684,1094071.183,0.0,12.57110146,m,5.264703789945422
441,4352120.277,1094072.484,0.0,13.59077596,m,8.507070589212159
441,4352115.527,1094072.295,34.375,11.88187135,y,4.753758618188868
443,4352088.59,1094067.978,0.0,11.47449945,m,27.280734190925333
443,4352053.114,1094064.34,66.608,11.89831915,y,35.66204733303686
448,4352034.66,1094069.769,0.0,11.18823358,m,19.236011982652244
448,4351989.495,1094059.477,67.456,12.30820175,y,46.32280743873462
449,4351987.44,1094063.303,8.27,10.90209618,y,4.342959935305996
455,4351986.064,1094085.868,22.841,13.88963348,y,22.606914893411027
456,4351998.769,1094089.827,0.0,17.95641617,m,13.307543199334125
456,4351998.468,1094093.371,18.569,15.95001579,y,3.556759339616182
460,4351995.414,1094098.084,0.0,10.22820063,m,5.6159847758662655
460,4351975.697,1094122.854,40.664,4.670277638,y,31.659327046037696
461,4351978.732,1094128.396,0.0,3.306141263,m,6.318622397310164
461,4351978.618,1094133.373,17.566,9.250994246,y,4.978305434539811
464,4351969.024,1094134.994,0.0,9.359560343,m,9.729978262667911
464,4351971.21,1094139.405,15.539,12.31811253,y,4.922958155380933
474,4351976.111,1094143.1,15.122,16.01715288,y,6.137819319319457
477,4351979.919,1094145.437,11.166,13.94828827,y,4.467933862609984
501,4351972.191,1094135.484,0.0,8.844150698,m,12.600960003167799
501,4351967.78,1094133.561,19.096,9.444964765,y,4.811948669131689
502,4351966.272,1094130.734,3.761,14.35763497,y,3.204058832390541
535,4352045.14,1094113.127,84.949,5.775480295,y,80.80945410631364
536,4352115.338,1094105.172,72.446,8.45925125,y,70.64730164070008
537,4352130.645,1094104.832,15.452,8.521694464,y,15.31077558363579
538,4352121.025,1094089.902,0.0,15.90936488,i,17.760892432034066
538,4352119.561,1094022.905,91.539,2.56891231,y,67.01299355347675
539,4352077.827,1093933.438,99.417,1.002462612,y,98.72219023605908
541,4352020.862,1093843.818,106.716,2.068606071,y,106.19206950146068
542,4351952.624,1093732.292,133.67,0.2493736879,y,130.7458348093795
543,4351909.269,1093634.489,142.961,5.122582455,y,106.98169391969205
548,4351901.503,1093623.536,15.772,12.16204953,y,13.426800252158175
551,4351901.05,1093623.555,0.453,10.4064562,y,0.45339827940230587
555,4351781.213,1093629.873,0.0,3.001775717,i,120.00343200444749
555,4351734.34,1093637.354,219.887,8.062102181,y,47.46623526317154
556,4351722.502,1093663.37,0.0,7.966724168,m,28.5826958139345
556,4351717.375,1093662.918,43.824,3.203379049,y,5.146885757757336
557,4351714.283,1093662.239,6.047,2.276055355,y,3.165676073307382
565,4351714.133,1093661.221,1.038,4.401397193,y,1.0289917395931412
592,4351708.779,1093678.15,0.0,6.42137587,m,17.755459920913278
592,4351707.969,1093698.849,39.583,5.869370021,y,20.71484252901214
593,4351703.878,1093697.002,5.277,5.765204751,y,4.488617827294895
606,4351585.198,1093827.53,208.5,7.931175635,y,176.41570560443805
609,4351585.575,1093834.166,12.206,5.372707308,y,6.64670030913506
629,4351587.384,1093791.637,0.0,6.276932817,m,42.567456137128495
629,4351608.44,1093769.298,0.0,7.565778683,m,30.69830707124411
629,4351652.455,1093760.72,0.0,4.491734019,m,44.843085408679606
629,4351713.944,1093714.496,205.442,12.7643016,y,76.92564784908078
632,4351713.956,1093714.144,0.0,13.13865768,i,0.35220448601775667
632,4351714.154,1093704.438,0.0,7.433070285,i,9.70801936545516
632,4351708.631,1093698.533,0.0,6.169138593,m,8.085329554249707
632,4351703.836,1093697.077,23.319,6.145764084,y,5.011183592655708
641,4351732.229,1093622.424,0.0,5.125909052,m,79.87009989976771
641,4351736.074,1093620.388,103.517,5.158866298,y,4.350783952154004
645,4351798.166,1093628.607,65.976,8.191312298,y,62.63360459867274
646,4351899.523,1093636.035,141.959,2.88001536,y,101.62881792565484
647,4351921.22,1093688.895,70.987,3.82151117,y,57.139648310062036
648,4352038.045,1093767.324,150.016,1.592459634,y,140.70958981549234
652,4352066.776,1093769.566,0.0,1.415306765,m,28.818343550280172
652,4352069.219,1093773.855,36.472,1.22558978,y,4.9359669770742896
654,4352067.803,1093771.362,0.0,1.475225136,m,2.8670725484395714
654,4352074.33,1093767.743,10.338,0.6061445047,y,7.463168897767721
658,4352076.84,1093766.368,0.0,0.8934226934,m,2.861944269002795
658,4352086.085,1093776.453,17.851,0.9736688203,y,13.681273698063167
663,4352088.833,1093777.262,0.0,0.5829129572,m,2.8646090480901916
663,4352087.053,1093779.507,0.0,0.9447529858,m,2.8650349032898745
663,4352087.335,1093782.105,8.425,0.6296476602,y,2.6132600329467834
667,4352087.061,1093779.253,0.0,0.8539620432,m,2.8651317595983845
667,4352094.181,1093779.613,10.003,0.669879849,y,7.1290953143787865
670,4352097.04,1093779.872,0.0,0.9031027484,m,2.870707578458729
670,4352096.628,1093784.922,7.979,0.2673552057,y,5.066778463764054
674,4352096.765,1093782.072,0.0,1.21252889,m,2.853290907103486
674,4352101.819,1093779.843,8.394,0.6349830758,y,5.52370862771841
678,4352104.462,1093778.727,0.0,0.2808719225,m,2.8689553850089977
678,4352109.458,1093791.695,0.0,0.982627128,m,13.897087464512088
678,4352111.312,1093796.282,21.786,0.6090303695,y,4.947513011548686
681,4352110.255,1093793.643,0.0,0.6365280993,m,2.8428102293128963
681,4352116.706,1093799.878,15.834,0.903807525,y,8.971656814981026
684,4352116.233,1093802.716,0.0,0.6643537058,m,2.877146676858005
684,4352108.119,1093817.635,20.644,1.191548947,y,16.982742917467736
686,4352108.05,1093818.031,0.402,1.202302434,y,0.401966416481124
693,4352107.549,1093820.859,0.0,1.02790839,m,2.8720349928314515
693,4352107.557,1093820.861,0.0,0.8234679924,i,0.008246211642909338
693,4352108.115,1093865.717,47.779,0.7662575659,y,44.85947057191338
694,4352127.025,1094046.356,184.649,5.534029483,y,181.62608959341034
695,4352128.156,1094056.272,10.105,6.447288381,y,9.98029142881647
698,4352118.378,1094085.642,0.0,12.84092111,i,30.954905653382145
698,4352119.108,1094090.242,44.15,17.36191052,y,4.657563741003389
700,4352125.857,1094098.8,12.869,20.33445677,y,10.89900752349121
702,4352122.04,1094105.077,8.497,10.52297127,y,7.34644254034186
706,4352121.974,1094105.322,1.35,10.73257387,y,0.2537341125932181
707,4352113.529,1094129.225,0.0,8.19758682,m,25.350965149535405
707,4352108.628,1094130.394,36.013,8.925301375,y,5.038488067391361
708,4351961.597,1094215.336,185.638,9.505865997,y,169.803587491013
709,4351798.129,1094309.967,202.282,6.451349791,y,188.8830674918266
713,4351751.079,1094450.403,173.228,4.398041151,y,148.10797613896023
714,4351669.005,1094538.076,159.436,2.352755927,y,120.09453112026033
715,4351626.366,1094721.053,190.753,1.33929169,y,187.879394426388
716,4351580.448,1094891.19,182.046,3.822425566,y,176.22446337839943
717,4351488.911,1095062.607,216.521,5.985906749,y,194.32655571990705
718,4351301.315,1095122.019,198.891,6.680480723,y,196.77917816670794
719,4351091.589,1095137.739,216.478,8.122242732,y,210.31432066386316
721,4351060.599,1095066.98,134.402,9.490070399,y,77.24775842033995
726,4351060.599,1095066.98,0.0,9.567186664,y,0.0
727,4351060.599,1095066.98,0.0,9.455582916,y,0.0
731,4351003.898,1095076.743,0.0,2.068050701,m,57.53537668287574
731,4350888.271,1094977.257,287.519,3.498006773,y,152.53546251636857
732,4350749.987,1094825.481,291.459,1.543011373,y,205.32515391938068
736,4350737.772,1094815.264,0.0,4.538719071,m,15.924613464547761
736,4350732.909,1094816.206,0.0,3.434566047,i,4.953396107627492
736,4350732.909,1094816.206,21.395,3.446940451,y,0.0
753,4350470.025,1094826.687,328.667,7.493204789,y,263.0928520822914
755,4350374.116,1094883.99,0.0,7.368175252,m,111.7236326387818
755,4350360.921,1094883.462,130.694,9.142044517,y,13.205559776389414
759,4350502.447,1095021.93,218.828,1.83174138,y,197.9974638722784
762,4350342.825,1095036.67,217.686,5.301470573,y,160.30112439980806
763,4350151.307,1095129.483,219.219,14.28815685,y,212.82245486103
764,4350020.865,1095219.355,166.318,1.062062122,y,158.40483498916558
765,4349918.772,1095340.78,166.803,1.397103403,y,158.64113991673563
766,4349904.566,1095387.826,0.0,3.530825551,i,49.14403882459478
766,4349905.408,1095390.069,57.25,2.047135161,y,2.3958324232667705
768,4349896.077,1095471.589,100.53,1.695051595,y,82.0522879693643
770,4349890.723,1095570.053,114.324,2.834859684,y,98.60945498289269
775,4349890.46,1095569.035,2.461,4.395543133,y,1.0514242723371194
784,4349873.061,1095562.174,0.0,8.652686021,m,18.702901432786426
784,4349869.536,1095558.028,25.378,11.13931334,y,5.441961135250244
793,4349872.25,1095548.151,20.991,13.60751825,y,10.243091574108798
795,4349870.29,1095552.976,7.431,18.27558605,y,5.2079002486035195
797,4349868.65,1095554.427,2.927,15.09282146,y,2.1897490720548687
816,4349868.991,1095577.319,0.0,9.35725975,i,22.894539632839727
816,4349864.861,1095600.398,48.655,4.331477734,y,23.445620934694603
818,4349845.86,1095583.435,0.0,5.828042264,m,25.47118705460069
818,4349844.805,1095576.423,39.194,4.103957075,y,7.090921590512694
821,4349850.045,1095574.916,0.0,5.239483357,m,5.4523984632720985
821,4349844.955,1095573.521,10.971,9.527032645,y,5.2777007302929775
836,4349760.771,1095545.135,150.83,4.019879179,y,88.8409300494813
838,4349710.893,1095471.551,100.146,2.328589527,y,88.8955563566639
843,4349706.181,1095481.126,0.0,1.564171474,m,10.671624478112346
843,4349711.93,1095481.88,17.863,6.361766418,y,5.798233955097942
848,4349707.5,1095478.073,0.0,0.9969640688,m,5.841074301514547
848,4349712.891,1095480.297,14.243,4.348017092,y,5.8317284742893785
854,4349662.109,1095464.539,63.915,3.324842379,y,53.170725855140354
856,4349653.061,1095463.635,0.0,1.006551194,m,9.093047894283048
856,4349648.839,1095460.958,15.07,4.932971378,y,4.999161229654186
866,4349552.515,1095457.339,119.993,3.089842102,y,96.39196095632464
868,4349472.025,1095463.71,95.425,6.719691609,y,80.74174719986311
870,4349416.379,1095548.226,128.43,1.225858605,y,101.19007645062104
871,4349416.54,1095565.242,0.0,2.029805411,i,17.01676164850976
871,4349412.873,1095618.493,73.673,3.595912682,y,53.37711016901662
872,4349412.911,1095621.961,10.854,4.723172988,y,3.4682081827935334
884,4349395.267,1095579.703,108.78,1.480453298,y,45.79355085603282
